YEAR  MO  DA  HR      LAT       LON   CO2 10000
2012   1   1  12  36.9168  -81.1246  0.4315E-08
2012   1   1  12  36.9668  -81.1246  0.7947E-09
2012   1   1  12  36.3668  -81.0746  0.1705E-09
2012   1   1  12  36.4168  -81.0746  0.1535E-08
2012   1   1  12  36.4668  -81.0746  0.8870E-08
2012   1   1  12  36.5168  -81.0746  0.1892E-07
2012   1   1  12  36.5668  -81.0746  0.3642E-07
2012   1   1  12  36.6168  -81.0746  0.4260E-07
2012   1   1  12  36.6668  -81.0746  0.5259E-07
2012   1   1  12  36.7168  -81.0746  0.7162E-07
2012   1   1  12  36.7668  -81.0746  0.9301E-07
2012   1   1  12  36.8168  -81.0746  0.8685E-07
2012   1   1  12  36.8668  -81.0746  0.5515E-07
2012   1   1  12  36.9168  -81.0746  0.2239E-07
2012   1   1  12  36.9668  -81.0746  0.7377E-08
2012   1   1  12  37.0168  -81.0746  0.1080E-08
2012   1   1  12  36.4168  -81.0246  0.1705E-09
2012   1   1  12  36.4668  -81.0246  0.2397E-08
2012   1   1  12  36.5168  -81.0246  0.7518E-08
2012   1   1  12  36.5668  -81.0246  0.1689E-07
2012   1   1  12  36.6168  -81.0246  0.3404E-07
2012   1   1  12  36.6668  -81.0246  0.4344E-07
2012   1   1  12  36.7168  -81.0246  0.5335E-07
2012   1   1  12  36.7668  -81.0246  0.6006E-07
2012   1   1  12  36.8168  -81.0246  0.7836E-07
2012   1   1  12  36.8668  -81.0246  0.7926E-07
2012   1   1  12  36.9168  -81.0246  0.6087E-07
2012   1   1  12  36.9668  -81.0246  0.2785E-07
2012   1   1  12  37.0168  -81.0246  0.9633E-08
2012   1   1  12  37.0668  -81.0246  0.1772E-08
2012   1   1  12  36.4168  -80.9746  0.1706E-09
2012   1   1  12  36.4668  -80.9746  0.3413E-09
2012   1   1  12  36.5168  -80.9746  0.2399E-08
2012   1   1  12  36.5668  -80.9746  0.6018E-08
2012   1   1  12  36.6168  -80.9746  0.1561E-07
2012   1   1  12  36.6668  -80.9746  0.3000E-07
2012   1   1  12  36.7168  -80.9746  0.4282E-07
2012   1   1  12  36.7668  -80.9746  0.4874E-07
2012   1   1  12  36.8168  -80.9746  0.5224E-07
2012   1   1  12  36.8668  -80.9746  0.6564E-07
2012   1   1  12  36.9168  -80.9746  0.6497E-07
2012   1   1  12  36.9668  -80.9746  0.5521E-07
2012   1   1  12  37.0168  -80.9746  0.3226E-07
2012   1   1  12  37.0668  -80.9746  0.1455E-07
2012   1   1  12  37.1168  -80.9746  0.4537E-08
2012   1   1  12  37.1668  -80.9746  0.1052E-08
2012   1   1  12  36.5168  -80.9246  0.6830E-09
2012   1   1  12  36.5668  -80.9246  0.2970E-08
2012   1   1  12  36.6168  -80.9246  0.5700E-08
2012   1   1  12  36.6668  -80.9246  0.1529E-07
2012   1   1  12  36.7168  -80.9246  0.2837E-07
2012   1   1  12  36.7668  -80.9246  0.4125E-07
2012   1   1  12  36.8168  -80.9246  0.4158E-07
2012   1   1  12  36.8668  -80.9246  0.4285E-07
2012   1   1  12  36.9168  -80.9246  0.5705E-07
2012   1   1  12  36.9668  -80.9246  0.5972E-07
2012   1   1  12  37.0168  -80.9246  0.5154E-07
2012   1   1  12  37.0668  -80.9246  0.3213E-07
2012   1   1  12  37.1168  -80.9246  0.1680E-07
2012   1   1  12  37.1668  -80.9246  0.5352E-08
2012   1   1  12  37.2168  -80.9246  0.1399E-08
2012   1   1  12  37.2668  -80.9246  0.2258E-09
2012   1   1  12  36.5168  -80.8746  0.2846E-09
2012   1   1  12  36.5668  -80.8746  0.3418E-09
2012   1   1  12  36.6168  -80.8746  0.2429E-08
2012   1   1  12  36.6668  -80.8746  0.5975E-08
2012   1   1  12  36.7168  -80.8746  0.1491E-07
2012   1   1  12  36.7668  -80.8746  0.2267E-07
2012   1   1  12  36.8168  -80.8746  0.3285E-07
2012   1   1  12  36.8668  -80.8746  0.3347E-07
2012   1   1  12  36.9168  -80.8746  0.3610E-07
2012   1   1  12  36.9668  -80.8746  0.4556E-07
2012   1   1  12  37.0168  -80.8746  0.5112E-07
2012   1   1  12  37.0668  -80.8746  0.4440E-07
2012   1   1  12  37.1168  -80.8746  0.3354E-07
2012   1   1  12  37.1668  -80.8746  0.1792E-07
2012   1   1  12  37.2168  -80.8746  0.8395E-08
2012   1   1  12  37.2668  -80.8746  0.2725E-08
2012   1   1  12  37.3168  -80.8746  0.6026E-09
2012   1   1  12  37.3668  -80.8746  0.7537E-10
2012   1   1  12  36.5668  -80.8246  0.4272E-09
2012   1   1  12  36.6168  -80.8246  0.7125E-09
2012   1   1  12  36.6668  -80.8246  0.2152E-08
2012   1   1  12  36.7168  -80.8246  0.5476E-08
2012   1   1  12  36.7668  -80.8246  0.1447E-07
2012   1   1  12  36.8168  -80.8246  0.2036E-07
2012   1   1  12  36.8668  -80.8246  0.2575E-07
2012   1   1  12  36.9168  -80.8246  0.2497E-07
2012   1   1  12  36.9668  -80.8246  0.2816E-07
2012   1   1  12  37.0168  -80.8246  0.3755E-07
2012   1   1  12  37.0668  -80.8246  0.4612E-07
2012   1   1  12  37.1168  -80.8246  0.4379E-07
2012   1   1  12  37.1668  -80.8246  0.3396E-07
2012   1   1  12  37.2168  -80.8246  0.1865E-07
2012   1   1  12  37.2668  -80.8246  0.9198E-08
2012   1   1  12  37.3168  -80.8246  0.3239E-08
2012   1   1  12  37.3668  -80.8246  0.1658E-08
2012   1   1  12  37.4168  -80.8246  0.7541E-10
2012   1   1  12  36.6168  -80.7746  0.2850E-09
2012   1   1  12  36.6668  -80.7746  0.8624E-09
2012   1   1  12  36.7168  -80.7746  0.3152E-08
2012   1   1  12  36.7668  -80.7746  0.6886E-08
2012   1   1  12  36.8168  -80.7746  0.1325E-07
2012   1   1  12  36.8668  -80.7746  0.1673E-07
2012   1   1  12  36.9168  -80.7746  0.2001E-07
2012   1   1  12  36.9668  -80.7746  0.2260E-07
2012   1   1  12  37.0168  -80.7746  0.2438E-07
2012   1   1  12  37.0668  -80.7746  0.3058E-07
2012   1   1  12  37.1168  -80.7746  0.3579E-07
2012   1   1  12  37.1668  -80.7746  0.3511E-07
2012   1   1  12  37.2168  -80.7746  0.2973E-07
2012   1   1  12  37.2668  -80.7746  0.1910E-07
2012   1   1  12  37.3168  -80.7746  0.8647E-08
2012   1   1  12  37.3668  -80.7746  0.3542E-08
2012   1   1  12  37.4168  -80.7746  0.5279E-09
2012   1   1  12  37.4668  -80.7746  0.7545E-10
2012   1   1  12  36.6168  -80.7246  0.3705E-09
2012   1   1  12  36.6668  -80.7246  0.2281E-09
2012   1   1  12  36.7168  -80.7246  0.1205E-08
2012   1   1  12  36.7668  -80.7246  0.3614E-08
2012   1   1  12  36.8168  -80.7246  0.6621E-08
2012   1   1  12  36.8668  -80.7246  0.1199E-07
2012   1   1  12  36.9168  -80.7246  0.1438E-07
2012   1   1  12  36.9668  -80.7246  0.1625E-07
2012   1   1  12  37.0168  -80.7246  0.1920E-07
2012   1   1  12  37.0668  -80.7246  0.2063E-07
2012   1   1  12  37.1168  -80.7246  0.2599E-07
2012   1   1  12  37.1668  -80.7246  0.3326E-07
2012   1   1  12  37.2168  -80.7246  0.3128E-07
2012   1   1  12  37.2668  -80.7246  0.2623E-07
2012   1   1  12  37.3168  -80.7246  0.1713E-07
2012   1   1  12  37.3668  -80.7246  0.8510E-08
2012   1   1  12  37.4168  -80.7246  0.2791E-08
2012   1   1  12  37.4668  -80.7246  0.9056E-09
2012   1   1  12  36.6668  -80.6746  0.3137E-09
2012   1   1  12  36.7168  -80.6746  0.2609E-09
2012   1   1  12  36.7668  -80.6746  0.1995E-08
2012   1   1  12  36.8168  -80.6746  0.4690E-08
2012   1   1  12  36.8668  -80.6746  0.7283E-08
2012   1   1  12  36.9168  -80.6746  0.1033E-07
2012   1   1  12  36.9668  -80.6746  0.1066E-07
2012   1   1  12  37.0168  -80.6746  0.1216E-07
2012   1   1  12  37.0668  -80.6746  0.1611E-07
2012   1   1  12  37.1168  -80.6746  0.1815E-07
2012   1   1  12  37.1668  -80.6746  0.1828E-07
2012   1   1  12  37.2168  -80.6746  0.2528E-07
2012   1   1  12  37.2668  -80.6746  0.2556E-07
2012   1   1  12  37.3168  -80.6746  0.1959E-07
2012   1   1  12  37.3668  -80.6746  0.1389E-07
2012   1   1  12  37.4168  -80.6746  0.6296E-08
2012   1   1  12  37.4668  -80.6746  0.1798E-08
2012   1   1  12  37.5168  -80.6746  0.6042E-09
2012   1   1  12  37.5668  -80.6746  0.3023E-09
2012   1   1  12  36.6668  -80.6246  0.8556E-10
2012   1   1  12  36.7168  -80.6246  0.2568E-09
2012   1   1  12  36.7668  -80.6246  0.5222E-09
2012   1   1  12  36.8168  -80.6246  0.2869E-08
2012   1   1  12  36.8668  -80.6246  0.4615E-08
2012   1   1  12  36.9168  -80.6246  0.7884E-08
2012   1   1  12  36.9668  -80.6246  0.9466E-08
2012   1   1  12  37.0168  -80.6246  0.8857E-08
2012   1   1  12  37.0668  -80.6246  0.8312E-08
2012   1   1  12  37.1168  -80.6246  0.1279E-07
2012   1   1  12  37.1668  -80.6246  0.1514E-07
2012   1   1  12  37.2168  -80.6246  0.1601E-07
2012   1   1  12  37.2668  -80.6246  0.1932E-07
2012   1   1  12  37.3168  -80.6246  0.1579E-07
2012   1   1  12  37.3668  -80.6246  0.1172E-07
2012   1   1  12  37.4168  -80.6246  0.7453E-08
2012   1   1  12  37.4668  -80.6246  0.3756E-08
2012   1   1  12  37.5168  -80.6246  0.1126E-08
2012   1   1  12  37.5668  -80.6246  0.3778E-09
2012   1   1  12  37.6168  -80.6246  0.2269E-09
2012   1   1  12  36.7168  -80.5746  0.3424E-09
2012   1   1  12  36.7668  -80.5746  0.8976E-10
2012   1   1  12  36.8168  -80.5746  0.1396E-08
2012   1   1  12  36.8668  -80.5746  0.3737E-08
2012   1   1  12  36.9168  -80.5746  0.4577E-08
2012   1   1  12  36.9668  -80.5746  0.7496E-08
2012   1   1  12  37.0168  -80.5746  0.7746E-08
2012   1   1  12  37.0668  -80.5746  0.8318E-08
2012   1   1  12  37.1168  -80.5746  0.7825E-08
2012   1   1  12  37.1668  -80.5746  0.1090E-07
2012   1   1  12  37.2168  -80.5746  0.1035E-07
2012   1   1  12  37.2668  -80.5746  0.1043E-07
2012   1   1  12  37.3168  -80.5746  0.1342E-07
2012   1   1  12  37.3668  -80.5746  0.1184E-07
2012   1   1  12  37.4168  -80.5746  0.9269E-08
2012   1   1  12  37.4668  -80.5746  0.5357E-08
2012   1   1  12  37.5168  -80.5746  0.3694E-08
2012   1   1  12  37.5668  -80.5746  0.8313E-09
2012   1   1  12  37.6168  -80.5746  0.7560E-10
2012   1   1  12  36.7168  -80.5246  0.1712E-09
2012   1   1  12  36.7668  -80.5246  0.1713E-09
2012   1   1  12  36.8168  -80.5246  0.4368E-09
2012   1   1  12  36.8668  -80.5246  0.2005E-08
2012   1   1  12  36.9168  -80.5246  0.4528E-08
2012   1   1  12  36.9668  -80.5246  0.4838E-08
2012   1   1  12  37.0168  -80.5246  0.6557E-08
2012   1   1  12  37.0668  -80.5246  0.6537E-08
2012   1   1  12  37.1168  -80.5246  0.7287E-08
2012   1   1  12  37.1668  -80.5246  0.7701E-08
2012   1   1  12  37.2168  -80.5246  0.9724E-08
2012   1   1  12  37.2668  -80.5246  0.1045E-07
2012   1   1  12  37.3168  -80.5246  0.8149E-08
2012   1   1  12  37.3668  -80.5246  0.8036E-08
2012   1   1  12  37.4168  -80.5246  0.7750E-08
2012   1   1  12  37.4668  -80.5246  0.5888E-08
2012   1   1  12  37.5168  -80.5246  0.2397E-08
2012   1   1  12  37.5668  -80.5246  0.1055E-08
