eGRID2012 file generator sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Notes
1,AK,Agrium Kenai Nitrogen Operations,54452,644A,0,RE,IC,NG,1.3,0,0,0,,1968,
2,AK,Agrium Kenai Nitrogen Operations,54452,644B,0,RE,IC,NG,1.3,0,0,0,,1968,
3,AK,Agrium Kenai Nitrogen Operations,54452,644C,0,RE,IC,NG,1.3,0,0,0,,1968,
4,AK,Agrium Kenai Nitrogen Operations,54452,644D,0,RE,IC,NG,1.3,0,0,0,,1968,
5,AK,Agrium Kenai Nitrogen Operations,54452,644E,0,RE,IC,NG,1.3,0,0,0,,1968,
6,AK,Agrium Kenai Nitrogen Operations,54452,644F,0,RE,IC,NG,1.3,0,0,0,,1968,
7,AK,Agrium Kenai Nitrogen Operations,54452,644G,0,RE,IC,NG,1.3,0,0,0,,1968,
8,AK,Agrium Kenai Nitrogen Operations,54452,744A,0,OS,GT,NG,2.5,0,0,0,,1977,
9,AK,Agrium Kenai Nitrogen Operations,54452,744B,0,OS,GT,NG,2.5,0,0,0,,1977,
10,AK,Agrium Kenai Nitrogen Operations,54452,744C,0,OS,GT,NG,2.5,0,0,0,,1977,
11,AK,Agrium Kenai Nitrogen Operations,54452,744D,0,OS,GT,NG,2.5,0,0,0,,1977,
12,AK,Agrium Kenai Nitrogen Operations,54452,744E,0,OS,GT,NG,2.5,0,0,0,,1977,
13,AK,Alakanuk,57053,G309,0,IP,IC,JF,0.5,0,0,0,,,
14,AK,Alakanuk,57053,UNIT1,0,OP,IC,JF,0.4,0,0,0,,2008,
15,AK,Alakanuk,57053,UNIT2,0,OP,IC,JF,0.5,0,0,0,,1999,
16,AK,Alakanuk,57053,UNIT3,0,OP,IC,JF,0.4,0,0,0,,1993,
17,AK,Alakanuk,57053,UNIT4,0,P,IC,JF,0.8,0,0,0,,2013,
18,AK,Anchorage 1,75,1,0,OP,GT,NG,12.5,0,0,0,,1962,
19,AK,Anchorage 1,75,2,0,OP,GT,NG,12.5,0,0,0,,1962,
20,AK,Anchorage 1,75,3,0,RE,GT,NG,16.3,0,0,0,,1968,
21,AK,Anchorage 1,75,3R,0,OP,GT,NG,48.9,0,0,0,,2007,
22,AK,Anchorage 1,75,4,0,OP,GT,NG,27,0,0,0,,1972,
23,AK,Anchorage 1,75,D1,0,RE,IC,DFO,1.1,0,0,0,,1956,
24,AK,Anchorage 1,75,D2,0,RE,IC,DFO,1.1,0,0,0,,1947,
25,AK,Anchorage 1,75,P1BS,0,OP,IC,DFO,2,0,0,0,,2012,
26,AK,Angoon,7462,1,0,RE,IC,DFO,0.4,0,0,0,,1975,
27,AK,Angoon,7462,1A,0,OP,IC,DFO,0.5,0,0,0,,2009,
28,AK,Angoon,7462,2A,0,OP,IC,DFO,0.5,0,0,0,,1998,
29,AK,Angoon,7462,3,0,OP,IC,DFO,0.5,0,0,0,,1990,
30,AK,Aniak,7182,1,0,OP,IC,DFO,0.5,0,0,0,,1988,
31,AK,Aniak,7182,3,0,RE,IC,DFO,0.3,0,0,0,,1980,
32,AK,Aniak,7182,4,0,RE,IC,DFO,0.3,0,0,0,,1980,
33,AK,Aniak,7182,5,0,RE,IC,DFO,0.3,0,0,0,,1991,
34,AK,Aniak,7182,9,0,OP,IC,DFO,0.6,0,0,0,,1996,
35,AK,Annex Creek,62,5,0,OP,HY,WAT,1.8,0,0,0,,1915,
36,AK,Annex Creek,62,6,0,OP,HY,WAT,2.2,0,0,0,,1915,
37,AK,Auke Bay,7250,13,0,SB,GT,DFO,2.8,0,0,0,,1993,
38,AK,Auke Bay,7250,14,0,SB,GT,DFO,30.9,0,0,0,,1994,
39,AK,Auke Bay,7250,4,0,SB,IC,DFO,2.5,0.001415525,31,0,F923NONK,1980,
40,AK,Aurora Energy LLC Chena,79,1,3,OP,ST,SUB,5,0.713584475,31255,0,F923ST,1952,
41,AK,Aurora Energy LLC Chena,79,2,3,OP,ST,SUB,2.5,0.216347032,4738,0,F923ST,1952,
42,AK,Aurora Energy LLC Chena,79,3,3,RE,ST,SUB,1.5,0,0,0,,1952,
43,AK,Aurora Energy LLC Chena,79,5,2,OP,ST,SUB,20,0.94413242,165412,0,F923ST,1975,
44,AK,Aurora Energy LLC Chena,79,7,3,IP,ST,SUB,2.3,0,0,0,,,
45,AK,Barrow,7173,10,0,OP,IC,NG,1.5,0,0,0,,1994,
46,AK,Barrow,7173,11,0,OP,GT,NG,4.8,0,0,0,,1996,
47,AK,Barrow,7173,12,0,OP,GT,NG,5,0,0,0,,2001,
48,AK,Barrow,7173,6,0,OP,GT,NG,2.5,0,0,0,,1977,
49,AK,Barrow,7173,7,0,OP,GT,NG,2.5,0,0,0,,1980,
50,AK,Barrow,7173,8,0,OP,GT,NG,2.5,0,0,0,,1982,
51,AK,Barrow,7173,9,0,OP,IC,NG,1.5,0,0,0,,1994,
52,AK,Battery Energy Storage System,57583,BESS,0,OP,BA,MWH,27,0,0,0,,2003,
53,AK,Beaver Falls,6580,1,0,OP,HY,WAT,1,0,0,0,,1947,
54,AK,Beaver Falls,6580,3,0,OP,HY,WAT,2.2,0,0,0,,1954,
55,AK,Beaver Falls,6580,4,0,OP,HY,WAT,2.2,0,0,0,,1954,
56,AK,Beluga,96,1,0,OP,GT,NG,16,0,0,0,,1968,
57,AK,Beluga,96,2,0,OP,GT,NG,16,0,0,0,,1968,
58,AK,Beluga,96,3,0,OP,GT,NG,59.1,0,0,0,,1972,
59,AK,Beluga,96,5,0,OP,GT,NG,68.3,0,0,0,,1975,
60,AK,Beluga,96,6,0,OP,CT,NG,76.5,0,0,0,,1976,
61,AK,Beluga,96,7,0,OP,CT,NG,76.5,0,0,0,,1978,
62,AK,Beluga,96,8,1,OP,CA,NG,62,0.555068861,301469,0,F923ST,1982,
63,AK,Bernice Lake,6292,2,0,SB,GT,NG,20.7,0,0,0,,1971,
64,AK,Bernice Lake,6292,3,0,OP,GT,NG,28.8,0,0,0,,1978,
65,AK,Bernice Lake,6292,4,0,OP,GT,NG,27.2,0,0,0,,1981,
66,AK,Bethel,6566,1,0,OP,IC,DFO,2.1,0,0,0,,1976,
67,AK,Bethel,6566,2,0,OP,IC,DFO,2.1,0,0,0,,1976,
68,AK,Bethel,6566,3,0,OP,IC,DFO,2.1,0,0,0,,1976,
69,AK,Bethel,6566,4,0,OP,IC,DFO,2.1,0,0,0,,1976,
70,AK,Bethel,6566,6,0,OP,IC,DFO,2.1,0,0,0,,1989,
71,AK,Bethel,6566,7,0,OP,IC,DFO,2.1,0,0,0,,1992,
72,AK,Black Bear Lake,7752,1,0,OP,HY,WAT,4.5,0.494596651,19497,0,F923NONK,1995,
73,AK,Blue Lake,93,1,0,OP,HY,WAT,3.5,0,0,0,,1961,
74,AK,Blue Lake,93,2,0,OP,HY,WAT,3.5,0,0,0,,1961,
75,AK,Bradley Lake,7367,1,0,OP,HY,WAT,63,0,0,0,,1991,
76,AK,Bradley Lake,7367,2,0,OP,HY,WAT,63,0,0,0,,1991,
77,AK,Centennial,7112,IC6,0,OP,IC,DFO,3.3,-0.00650339,-188,0,F923NONK,1987,
78,AK,Chester Lake,7168,1,0,OP,HY,WAT,1,0.622374429,5452,0,F923NONK,1988,
79,AK,Chevak,6311,1,0,RE,IC,DFO,0.4,0,0,0,,1977,
80,AK,Chevak,6311,2,0,RE,IC,DFO,0.3,0,0,0,,1976,
81,AK,Chevak,6311,3,0,RE,IC,DFO,0.3,0,0,0,,1979,
82,AK,Chilkat Valley,7467,1,0,SB,IC,DFO,0.6,0,0,0,,1993,
83,AK,Chilkat Valley,7467,2A,0,RE,IC,DFO,0.5,0,0,0,,1991,
84,AK,Cooper Lake,6291,1,0,OP,HY,WAT,9.7,0,0,0,,1961,
85,AK,Cooper Lake,6291,2,0,OP,HY,WAT,9.7,0,0,0,,1961,
86,AK,Craig,421,1,0,OP,IC,DFO,0.6,0,0,0,,1984,
87,AK,Craig,421,3A,0,OP,IC,DFO,1.6,0,0,0,,1991,
88,AK,Craig,421,5,0,OP,IC,DFO,1.1,0,0,0,,1983,
89,AK,Craig,421,6,0,OP,IC,DFO,1.1,0,0,0,,1989,
90,AK,Delta Power,56325,6,0,SB,GT,DFO,23.1,-0.000158137,-32,0,F923NONK,1976,
91,AK,Delta Wind Farm,58511,EWT1,0,OP,WT,WND,0.9,0,0,0,,2009,
92,AK,Delta Wind Farm,58511,EWT2,0,V,WT,WND,0.9,0,0,0,,2013,
93,AK,Delta Wind Farm,58511,NW1,0,OP,WT,WND,0.1,0,0,0,,2008,
94,AK,Dillingham,109,10,0,OP,IC,DFO,1.1,0,0,0,,1988,
95,AK,Dillingham,109,11,0,OP,IC,DFO,1,0,0,0,,2001,
96,AK,Dillingham,109,12,0,OP,IC,DFO,1,0,0,0,,2006,
97,AK,Dillingham,109,13,0,OP,IC,DFO,1,0,0,0,,2006,
98,AK,Dillingham,109,14,0,OP,IC,DFO,1,0,0,0,,2008,
99,AK,Dillingham,109,15,0,OP,IC,DFO,1,0,0,0,,2008,
100,AK,Dillingham,109,16,0,OP,IC,DFO,0.5,0,0,0,,2009,
101,AK,Dillingham,109,3,0,RE,IC,DFO,0.3,0,0,0,,1961,
102,AK,Dillingham,109,4,0,RE,IC,DFO,0.5,0,0,0,,1967,
103,AK,Dillingham,109,5,0,RE,IC,DFO,0.7,0,0,0,,1973,
104,AK,Dillingham,109,6,0,RE,IC,DFO,1,0,0,0,,1976,
105,AK,Dillingham,109,8,0,RE,IC,DFO,0.8,0,0,0,,1985,
106,AK,Dillingham,109,IC9,0,RE,IC,DFO,0.8,0,0,0,,1985,
107,AK,Dutch Harbor,7502,1,0,RE,IC,DFO,0.3,0,0,0,,1985,
108,AK,Dutch Harbor,7502,10,0,OP,IC,DFO,5.2,0,0,0,,2010,
109,AK,Dutch Harbor,7502,11,0,OP,IC,DFO,5.2,0,0,0,,2010,
110,AK,Dutch Harbor,7502,13,0,OP,IC,DFO,4.4,0,0,0,,2011,
111,AK,Dutch Harbor,7502,15,0,SB,IC,DFO,0.3,0,0,0,,2010,
112,AK,Dutch Harbor,7502,2,0,RE,IC,DFO,0.3,0,0,0,,1987,
113,AK,Dutch Harbor,7502,3,0,RE,IC,DFO,0.6,0,0,0,,1986,
114,AK,Dutch Harbor,7502,4,0,RE,IC,DFO,0.9,0,0,0,,1986,
115,AK,Dutch Harbor,7502,5,0,RE,IC,DFO,0.6,0,0,0,,1985,
116,AK,Dutch Harbor,7502,6,0,RE,IC,DFO,1.4,0,0,0,,1985,
117,AK,Dutch Harbor,7502,8,0,OP,IC,DFO,1.2,0,0,0,,1989,
118,AK,Dutch Harbor,7502,9,0,OP,IC,DFO,1.2,0,0,0,,1994,
119,AK,Eielson AFB Central Heat & Power Plant,50392,DG01,0,SB,IC,DFO,1.5,0,0,0,,1998,
120,AK,Eielson AFB Central Heat & Power Plant,50392,DG02,0,SB,IC,DFO,1.5,0,0,0,,1998,
121,AK,Eielson AFB Central Heat & Power Plant,50392,DG03,0,SB,IC,DFO,1.5,0,0,0,,1998,
122,AK,Eielson AFB Central Heat & Power Plant,50392,DG04,0,SB,IC,DFO,1.5,0,0,0,,1998,
123,AK,Eielson AFB Central Heat & Power Plant,50392,DG1,0,SB,IC,DFO,2.5,0,0,0,,1987,
124,AK,Eielson AFB Central Heat & Power Plant,50392,TG1,6,OP,ST,SUB,2.5,0.046347032,1015,0,F923ST,1952,
125,AK,Eielson AFB Central Heat & Power Plant,50392,TG2,6,OP,ST,SUB,2.5,0.001324201,29,0,F923ST,1952,
126,AK,Eielson AFB Central Heat & Power Plant,50392,TG3,6,OP,ST,SUB,5,0.247625571,10846,0,F923ST,1955,
127,AK,Eielson AFB Central Heat & Power Plant,50392,TG4,6,OP,ST,SUB,5,0.429086758,18794,0,F923ST,1969,
128,AK,Eielson AFB Central Heat & Power Plant,50392,TG5,6,OP,ST,SUB,10,0.476723744,41761,0,F923ST,1987,
129,AK,Eklutna Hydro Project,77,1,0,OP,HY,WAT,22.2,0,0,0,,1955,
130,AK,Eklutna Hydro Project,77,2,0,OP,HY,WAT,22.2,0,0,0,,1955,
131,AK,Elim,57060,UNIT1,0,OP,IC,JF,0.2,0,0,0,,2003,
132,AK,Elim,57060,UNIT2,0,OP,IC,JF,0.4,0,0,0,,2003,
133,AK,Elim,57060,UNIT3,0,OP,IC,JF,1,0,0,0,,2003,
134,AK,Emmonak,6314,2,0,RE,IC,DFO,0.3,0,0,0,,1977,
135,AK,Emmonak,6314,2A,0,OP,IC,DFO,0.5,0,0,0,,2012,
136,AK,Emmonak,6314,4,0,RE,IC,DFO,0.3,0,0,0,,1980,
137,AK,Emmonak,6314,4a,0,OP,IC,DFO,0.5,0,0,0,,2005,
138,AK,Emmonak,6314,5,0,RE,IC,DFO,0.5,0,0,0,,1988,
139,AK,Emmonak,6314,5a,0,OP,IC,DFO,0.5,0,0,0,,2005,
140,AK,Emmonak,6314,6,0,OP,IC,DFO,0.9,0,0,0,,1995,
141,AK,ESS Battery,58405,1,0,OP,BA,MWH,3,0,0,0,,2012,
142,AK,Eva Creek Wind,57935,EVW,0,TS,WT,WND,24.6,0,0,0,,2013,
143,AK,Fairbanks,6286,5,0,OP,IC,DFO,2.7,0,0,0,,1970,
144,AK,Fairbanks,6286,6,0,OP,IC,DFO,2.7,0,0,0,,1970,
145,AK,Fairbanks,6286,GT1,0,OP,GT,RFO,18.4,0,0,0,,1971,
146,AK,Fairbanks,6286,GT2,0,OP,GT,RFO,18.4,0,0,0,,1972,
147,AK,False Island,56146,1,0,OP,IC,DFO,1.3,0,0,0,,2003,
148,AK,False Island,56146,3,0,RE,IC,DFO,0.3,0,0,0,,1983,
149,AK,Fire Island Wind,58425,WT1,0,OP,WT,WND,18,0,0,0,,2012,
150,AK,Fort Greely Power Plant,54834,EN-1,0,RE,IC,DFO,1,0,0,0,,1954,
151,AK,Fort Greely Power Plant,54834,EN-2,0,RE,IC,DFO,1,0,0,0,,1954,
152,AK,Fort Greely Power Plant,54834,EN-3,0,RE,IC,DFO,1,0,0,0,,1954,
153,AK,Fort Greely Power Plant,54834,EN-4,0,SB,IC,DFO,1.2,0,0,0,,1959,
154,AK,Fort Greely Power Plant,54834,EN-5,0,SB,IC,DFO,1.2,0,0,0,,1959,
155,AK,Fort Greely Power Plant,54834,EN-6,0,SB,IC,DFO,2.5,0,0,0,,2010,
156,AK,Fort Greely Power Plant,54834,EN-7,0,SB,IC,DFO,2.5,0,0,0,,2010,
157,AK,Galena Electric Utility,7437,1A,0,OP,IC,DFO,0.8,0,0,0,,1999,
158,AK,Galena Electric Utility,7437,2,0,SB,IC,DFO,0.8,0,0,0,,1990,
159,AK,Galena Electric Utility,7437,3,0,RE,IC,DFO,0.8,0,0,0,,1990,
160,AK,Galena Electric Utility,7437,3A,0,OP,IC,DFO,0.8,0,0,0,,2009,
161,AK,Galena Electric Utility,7437,4,0,RE,IC,DFO,0.8,0,0,0,,1990,
162,AK,Galena Electric Utility,7437,4A,0,OP,IC,DFO,1,0,0,0,,2004,
163,AK,Galena Electric Utility,7437,5,0,RE,IC,DFO,0.8,0,0,0,,1990,
164,AK,Galena Electric Utility,7437,5A,0,OP,IC,DFO,0.8,0,0,0,,2009,
165,AK,Galena Electric Utility,7437,6,0,TS,IC,DFO,0.5,0,0,0,,2013,
166,AK,Galena Electric Utility,7437,6A,0,RE,IC,DFO,0.4,0,0,0,,1997,
167,AK,Gambell,57062,UNIT1,0,OP,IC,JF,0.3,0,0,0,,1985,
168,AK,Gambell,57062,UNIT2,0,OP,IC,JF,0.5,0,0,0,,2006,
169,AK,Gambell,57062,UNIT3,0,OP,IC,JF,0.8,0,0,0,,2006,
170,AK,George M Sullivan Generation Plant 2,6559,5,0,OP,CT,NG,38.1,0,0,0,,1975,
171,AK,George M Sullivan Generation Plant 2,6559,6,2,OP,CA,NG,33,0.663830082,191900,0,F923ST,1979,
172,AK,George M Sullivan Generation Plant 2,6559,7,0,OP,CT,NG,102.6,0,0,0,,1979,
173,AK,George M Sullivan Generation Plant 2,6559,GT8,0,OP,GT,NG,92.6,0.225179246,182660,0,F923NONK,1984,
174,AK,Glennallen,6305,1,0,RE,IC,DFO,0.3,0,0,0,,1959,
175,AK,Glennallen,6305,2,0,RE,IC,DFO,0.3,0,0,0,,1959,
176,AK,Glennallen,6305,3,0,OP,IC,DFO,0.5,0,0,0,,1963,
177,AK,Glennallen,6305,4,0,OP,IC,DFO,0.5,0,0,0,,1966,
178,AK,Glennallen,6305,5,0,OP,IC,DFO,0.5,0,0,0,,1966,
179,AK,Glennallen,6305,6,0,OP,IC,DFO,2.6,0,0,0,,1976,
180,AK,Glennallen,6305,7,0,OP,IC,DFO,2.6,0,0,0,,1976,
181,AK,Glennallen,6305,8,0,OP,IC,DFO,1.2,0,0,0,,1999,
182,AK,Glennallen,6305,9,0,OP,IC,DFO,2.8,0,0,0,,2010,
183,AK,Goat Lake Hydro,7751,1,0,OP,HY,WAT,4,0.465125571,16298,0,F923NONK,1997,
184,AK,Gold Creek,63,1,0,OP,HY,WAT,0.8,0,0,0,,1951,
185,AK,Gold Creek,63,2,0,OP,HY,WAT,0.4,0,0,0,,1906,
186,AK,Gold Creek,63,3,0,OP,HY,WAT,0.4,0,0,0,,1906,
187,AK,Gold Creek,63,IC1,0,SB,IC,DFO,1.2,0,0,0,,1952,
188,AK,Gold Creek,63,IC2,0,SB,IC,DFO,1.2,0,0,0,,1954,
189,AK,Gold Creek,63,IC3,0,SB,IC,DFO,1.1,0,0,0,,1961,
190,AK,Gold Creek,63,IC4,0,SB,IC,DFO,3.5,0,0,0,,1963,
191,AK,Gold Creek,63,IC5,0,SB,IC,DFO,1.1,0,0,0,,1966,
192,AK,Green Lake,313,1,0,OP,HY,WAT,9.3,0,0,0,,1982,
193,AK,Green Lake,313,2,0,OP,HY,WAT,9.3,0,0,0,,1982,
194,AK,Gwitchyaa Zhee,7174,1,0,OP,IC,DFO,0.6,0,0,0,,1987,
195,AK,Gwitchyaa Zhee,7174,2A,0,OP,IC,DFO,0.5,0,0,0,,2012,
196,AK,Gwitchyaa Zhee,7174,3,0,OP,IC,DFO,0.6,0,0,0,,1990,
197,AK,Gwitchyaa Zhee,7174,4A,0,OP,IC,DFO,0.5,0,0,0,,2011,
198,AK,Gwitchyaa Zhee,7174,5,0,RE,IC,DFO,0.5,0,0,0,,2000,
199,AK,Gwitchyaa Zhee,7174,6,0,OP,IC,DFO,0.5,0,0,0,,2009,
200,AK,Haines,69,10,0,OP,IC,DFO,1.2,0,0,0,,1991,
201,AK,Haines,69,5,0,OP,IC,DFO,0.6,0,0,0,,1968,
202,AK,Haines,69,7A,0,OP,IC,DFO,2.8,0,0,0,,1995,
203,AK,Haines,69,9,0,RE,IC,DFO,1.1,0,0,0,,1989,
204,AK,Haines,69,IC8A,0,OP,IC,DFO,1.6,0,0,0,,1996,
205,AK,Healy,6288,1,1,OP,ST,SUB,28,0.878208578,215407,0,F923ST,1967,
206,AK,Healy,6288,IC1,0,OP,IC,DFO,2.8,0.000693085,17,0,F923NONK,1967,
207,AK,Healy Clean Coal Plant,7785,2,0,IP,ST,SUB,50,0,0,0,,,
208,AK,Hoonah,7463,1,0,RE,IC,DFO,0.6,0,0,0,,1977,
209,AK,Hoonah,7463,2A,0,OP,IC,DFO,1,0,0,0,,1997,
210,AK,Hoonah,7463,3,0,RE,IC,DFO,0.8,0,0,0,,1991,
211,AK,Hoonah,7463,3A,0,OP,IC,DFO,0.5,0,0,0,,2012,
212,AK,Hoonah,7463,4,0,OP,IC,DFO,0.5,0,0,0,,2012,
213,AK,Hooper Bay,6319,3A,0,OP,IC,DFO,0.3,0,0,0,,1988,
214,AK,Hooper Bay,6319,4A,0,OP,IC,DFO,0.3,0,0,0,,1987,
215,AK,Hooper Bay,6319,5,0,OP,IC,DFO,0.5,0,0,0,,1991,
216,AK,Hooper Bay,6319,6,0,OP,IC,DFO,0.5,0,0,0,,1997,
217,AK,Humpback Creek,7042,1,0,OP,HY,WAT,0.5,0,0,0,,1991,
218,AK,Humpback Creek,7042,2,0,OP,HY,WAT,0.5,0,0,0,,1991,
219,AK,Humpback Creek,7042,3,0,OP,HY,WAT,0.2,0,0,0,,1991,
220,AK,Hydaburg,423,1A,0,OP,IC,DFO,0.4,0,0,0,,1990,
221,AK,Hydaburg,423,3A,0,OP,IC,DFO,0.3,0,0,0,,2001,
222,AK,Hydaburg,423,5,0,OP,IC,DFO,0.3,0,0,0,,1985,
223,AK,International,6293,1,0,OP,GT,NG,15,0,0,0,,1964,
224,AK,International,6293,2,0,OP,GT,NG,15,0,0,0,,1965,
225,AK,International,6293,3,0,OP,GT,NG,16.3,0,0,0,,1969,
226,AK,Jarvis Street,6801,1,0,OP,IC,DFO,2,0,0,0,,1979,
227,AK,Jarvis Street,6801,2,0,OP,IC,DFO,2.8,0,0,0,,1979,
228,AK,Jarvis Street,6801,3,0,OP,IC,DFO,2.8,0,0,0,,1979,
229,AK,Jarvis Street,6801,4,0,OP,IC,DFO,4.5,0,0,0,,2002,
230,AK,JBER Landfill Gas Power Plant,58380,1,0,OP,IC,LFG,2.3,0,0,0,,2012,
231,AK,JBER Landfill Gas Power Plant,58380,2,0,OP,IC,LFG,2.3,0,0,0,,2012,
232,AK,JBER Landfill Gas Power Plant,58380,3,0,OP,IC,LFG,2.3,0,0,0,,2012,
233,AK,JBER Landfill Gas Power Plant,58380,4,0,OP,IC,LFG,2.3,0,0,0,,2012,
234,AK,JBER Landfill Gas Power Plant,58380,5,0,U,IC,LFG,2.3,0,0,0,,2013,
235,AK,Kake,7464,1,0,RE,IC,DFO,0.6,0,0,0,,1984,
236,AK,Kake,7464,1A,0,OP,IC,DFO,0.5,0,0,0,,2012,
237,AK,Kake,7464,2,0,OP,IC,DFO,1.1,0,0,0,,1993,
238,AK,Kake,7464,3A,0,OP,IC,DFO,0.8,0,0,0,,1993,
239,AK,Kasidaya Creek Hydro,56542,1,0,OP,HY,WAT,3,0.263127854,6915,0,F923NONK,2008,
240,AK,Kasigluk,57066,5A,0,OP,IC,JF,0.7,0,0,0,,2004,
241,AK,Kasigluk,57066,UNIT1,0,OP,IC,JF,0.4,0,0,0,,2006,
242,AK,Kasigluk,57066,UNIT2,0,OP,IC,JF,0.5,0,0,0,,2006,
243,AK,Ketchikan,84,3,0,OP,HY,WAT,1.4,0,0,0,,1952,
244,AK,Ketchikan,84,4,0,OP,HY,WAT,1.4,0,0,0,,1938,
245,AK,Ketchikan,84,5,0,OP,HY,WAT,1.4,0,0,0,,1954,
246,AK,Kiana,6323,1A,0,RE,IC,DFO,0.3,0,0,0,,1977,
247,AK,Kiana,6323,1B,0,OP,IC,DFO,0.3,0,0,0,,2001,
248,AK,Kiana,6323,2,0,RE,IC,DFO,0.3,0,0,0,,1990,
249,AK,Kiana,6323,3A,0,OP,IC,DFO,0.3,0,0,0,,2000,
250,AK,Kiana,6323,4,0,OP,IC,DFO,0.5,0,0,0,,1984,
251,AK,King Cove,7493,1,0,OP,IC,DFO,0.3,0,0,0,,1980,
252,AK,King Cove,7493,2,0,OP,IC,DFO,0.5,0,0,0,,1986,
253,AK,King Cove,7493,3,0,OP,IC,DFO,0.7,0,0,0,,1992,
254,AK,King Cove,7493,4,0,OP,HY,WAT,0.8,3.497431507,24510,0,F923NONK,1995,
255,AK,King Cove,7493,5,0,OP,IC,DFO,0.3,0,0,0,,1980,
256,AK,Kivalina,57065,UNIT1,0,OP,IC,JF,0.2,0,0,0,,1996,
257,AK,Kivalina,57065,UNIT2,0,OP,IC,JF,0.3,0,0,0,,1977,
258,AK,Kivalina,57065,UNIT3,0,OP,IC,JF,0.2,0,0,0,,1990,
259,AK,Kivalina,57065,UNIT4,0,OP,IC,JF,0.4,0,0,0,,2004,
260,AK,Klawock,7466,1,0,RE,IC,DFO,0.5,0,0,0,,1970,
261,AK,Klawock,7466,2,0,RE,IC,DFO,0.5,0,0,0,,1970,
262,AK,Klawock,7466,3,0,RE,IC,DFO,0.1,0,0,0,,1955,
263,AK,Klawock,7466,4,0,RE,IC,DFO,0.3,0,0,0,,1977,
264,AK,Kodiak,6281,1,0,OP,IC,DFO,2.5,0,0,0,,1976,
265,AK,Kodiak,6281,2,0,RE,IC,DFO,5.2,0,0,0,,1976,
266,AK,Kodiak,6281,2c,0,OP,IC,DFO,4.4,0,0,0,,2005,
267,AK,Kodiak,6281,3,0,RE,IC,DFO,5.2,0,0,0,,1976,
268,AK,Kodiak,6281,3c,0,OP,IC,DFO,4.4,0,0,0,,2005,
269,AK,Kodiak,6281,4,0,OP,IC,DFO,7,0,0,0,,1981,
270,AK,Kodiak,6281,6,0,RE,IC,DFO,2,0,0,0,,1968,
271,AK,Kodiak,6281,6A,0,OP,IC,DFO,2,0,0,0,,2002,
272,AK,Kodiak,6281,7,0,RE,IC,DFO,2,0,0,0,,1968,
273,AK,Kodiak,6281,7A,0,OP,IC,DFO,2,0,0,0,,2002,
274,AK,Kodiak,6281,8,0,RE,IC,DFO,2.6,0,0,0,,1968,
275,AK,Kodiak,6281,9,0,RE,IC,DFO,2,0,0,0,,1968,
276,AK,Kotlik,57064,UNIT1,0,OP,IC,JF,0.3,0,0,0,,2007,
277,AK,Kotlik,57064,UNIT2,0,OP,IC,JF,0.3,0,0,0,,2007,
278,AK,Kotlik,57064,UNIT3,0,OP,IC,JF,0.4,0,0,0,,2007,
279,AK,Kotlik,57064,UNIT4,0,OP,IC,JF,0.4,0,0,0,,2007,
280,AK,Kotzebue,6304,10,0,OP,IC,DFO,3,0,0,0,,1992,
281,AK,Kotzebue,6304,10wt,0,OP,WT,WND,0.1,0,0,0,,1999,
282,AK,Kotzebue,6304,11,0,OP,IC,DFO,1,0,0,0,,1994,
283,AK,Kotzebue,6304,11wt,0,OP,WT,WND,0.1,0,0,0,,2005,
284,AK,Kotzebue,6304,12,0,RE,IC,DFO,1,0,0,0,,1994,
285,AK,Kotzebue,6304,12wt,0,OP,WT,WND,0.1,0,0,0,,2005,
286,AK,Kotzebue,6304,13WT,0,OP,WT,WND,0.1,0,0,0,,2006,
287,AK,Kotzebue,6304,14,0,OP,IC,DFO,2.8,0,0,0,,1994,
288,AK,Kotzebue,6304,14wt,0,OP,WT,WND,0.1,0,0,0,,2002,
289,AK,Kotzebue,6304,15,0,OP,IC,DFO,2.8,0,0,0,,2006,
290,AK,Kotzebue,6304,15WT,0,OP,WT,WND,0.1,0,0,0,,2006,
291,AK,Kotzebue,6304,16WT,0,OP,WT,WND,0.1,0,0,0,,2006,
292,AK,Kotzebue,6304,17WT,0,OP,WT,WND,0.1,0,0,0,,2006,
293,AK,Kotzebue,6304,18WT,0,OP,WT,WND,0.9,0,0,0,,2012,
294,AK,Kotzebue,6304,19WT,0,OP,WT,WND,0.9,0,0,0,,2012,
295,AK,Kotzebue,6304,1WT,0,OP,WT,WND,0.6,0,0,0,,1999,
296,AK,Kotzebue,6304,2WT,0,OP,WT,WND,0.1,0,0,0,,1999,
297,AK,Kotzebue,6304,3WT,0,OP,WT,WND,0.2,0,0,0,,1997,
298,AK,Kotzebue,6304,4WT,0,OP,WT,WND,0.5,0,0,0,,1999,
299,AK,Kotzebue,6304,5WT,0,OP,WT,WND,0.1,0,0,0,,2002,
300,AK,Kotzebue,6304,6WT,0,OP,WT,WND,0.1,0,0,0,,2005,
301,AK,Kotzebue,6304,7A,0,OP,IC,DFO,1.1,0,0,0,,1987,
302,AK,Kotzebue,6304,7WT,0,OP,WT,WND,0.3,0,0,0,,2006,
