eGRID2012 file generator sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Notes
13553,NC,QVC Inc,56966,1,0,OP,PV,SUN,1,0.183675799,1609,0,F923NONK,2008,
13554,NC,Raeford Farm,58274,RAEF,0,OP,PV,SUN,5,0.013515982,592,0,F923NONK,2012,
13555,NC,Railroad Farm,58316,1,0,OP,PV,SUN,5,0.204863014,8973,0,F923NONK,2012,
13556,NC,Rhodhiss,2730,1,0,OP,HY,WAT,8.5,0,0,0,,1925,
13557,NC,Rhodhiss,2730,2,0,OP,HY,WAT,8.5,0,0,0,,1925,
13558,NC,Rhodhiss,2730,3,0,OP,HY,WAT,8.5,0,0,0,,1925,
13559,NC,Riverbend,2732,10,0,RE,GT,NG,33.8,0,0,0,,1969,
13560,NC,Riverbend,2732,11,0,RE,GT,NG,33.8,0,0,0,,1969,
13561,NC,Riverbend,2732,4,1,OP,ST,BIT,100,0.029839041,26139,0,F923ST,1952,
13562,NC,Riverbend,2732,5,1,OP,ST,BIT,100,0.02689726,23562,0,F923ST,1952,
13563,NC,Riverbend,2732,6,1,OP,ST,BIT,133,0.038899475,45321,0,F923ST,1954,
13564,NC,Riverbend,2732,7,1,OP,ST,BIT,133,0.052776633,61489,0,F923ST,1954,
13565,NC,Riverbend,2732,8,0,RE,GT,NG,33.8,0,0,0,,1969,
13566,NC,Riverbend,2732,9,0,RE,GT,NG,33.8,0,0,0,,1969,
13567,NC,Roanoke Rapids,2758,1,0,OP,HY,WAT,25,0,0,0,,1955,
13568,NC,Roanoke Rapids,2758,2,0,OP,HY,WAT,25,0,0,0,,1955,
13569,NC,Roanoke Rapids,2758,3,0,OP,HY,WAT,25,0,0,0,,1955,
13570,NC,Roanoke Rapids,2758,4,0,OP,HY,WAT,25,0,0,0,,1955,
13571,NC,Roanoke Valley Energy Facililty I,54035,GEN1,1,OP,ST,BIT,182.3,0.713061415,1138722,0,F923ST,1994,
13572,NC,Roanoke Valley Energy Facility II,54755,GEN2,1,OP,ST,BIT,57.8,0.668748321,338606,0,F923ST,1995,
13573,NC,Rock Farm,58347,1,0,T,PV,SUN,5,0,0,0,,2013,
13574,NC,Rockingham County CT Station,55116,CT1,0,SB,GT,NG,195.5,0,0,0,,2000,
13575,NC,Rockingham County CT Station,55116,CT2,0,SB,GT,NG,195.5,0,0,0,,2000,
13576,NC,Rockingham County CT Station,55116,CT3,0,SB,GT,NG,195.5,0,0,0,,2000,
13577,NC,Rockingham County CT Station,55116,CT4,0,SB,GT,NG,195.5,0,0,0,,2000,
13578,NC,Rockingham County CT Station,55116,CT5,0,SB,GT,NG,195.5,0,0,0,,2000,
13579,NC,Rocky Mount Mill,50468,1,0,OP,HY,WAT,0.6,0,0,0,,1949,
13580,NC,Rocky Mount Mill,50468,2,0,OP,HY,WAT,0.5,0,0,0,,1941,
13581,NC,Rocky Mount Mill,50468,3,0,OP,HY,WAT,0.5,0,0,0,,1949,
13582,NC,Rosemary Power Station,50555,GEN1,0,OP,CT,NG,86,0,0,0,,1990,
13583,NC,Rosemary Power Station,50555,GEN2,0,OP,CT,NG,40,0,0,0,,1990,
13584,NC,Rosemary Power Station,50555,GEN3,0,OP,CA,NG,54,0,0,0,F923NONK,1990,
13585,NC,Rowan,7826,1,0,OP,GT,NG,199.4,0,0,0,,2001,
13586,NC,Rowan,7826,2,0,OP,GT,NG,199.4,0,0,0,,2001,
13587,NC,Rowan,7826,3,0,OP,GT,NG,199.4,0,0,0,,2001,
13588,NC,Rowan,7826,4,0,OP,CT,NG,199.4,0,0,0,,2003,
13589,NC,Rowan,7826,5,0,OP,CT,NG,199.4,0,0,0,,2003,
13590,NC,Rowan,7826,STG,2,OP,CA,NG,195,0.65904695,1125784,0,F923ST,2003,
13591,NC,Roxboro,2712,1,1,OP,ST,BIT,410.8,0.562777329,2025215,0,F923ST,1966,
13592,NC,Roxboro,2712,2,1,OP,ST,BIT,657,0.721273708,4151161,0,F923ST,1968,
13593,NC,Roxboro,2712,3,2,OP,ST,BIT,745.2,0.564517938,3685146,0,F923ST,1973,
13594,NC,Roxboro,2712,4,2,OP,ST,BIT,745.2,0.628292916,4101466,0,F923ST,1980,
13595,NC,Roxboro,2712,GT1,0,RE,GT,DFO,16.3,0,0,0,,1968,
13596,NC,Roxboro Farm,58340,1,0,T,PV,SUN,5,0,0,0,,2013,
13597,NC,Salem Energy Systems LLC,54984,UNT1,0,OP,GT,LFG,4.5,0.706849315,27864,0,F923NONK,1996,
13598,NC,Sampson County Landfill,57492,GEN1,0,OP,IC,LFG,1.6,0,0,0,,2011,
13599,NC,Sampson County Landfill,57492,GEN2,0,OP,IC,LFG,1.6,0,0,0,,2011,
